page_type,column,layout
1,7,"[[0, 1, 5, 9, 2], [5, 1, 2, 9, 3], '5단통']"
1,7,"[[0, 1, 5, 9, 2], [5, 1, 2, 9, 2], '5단통']"
1,7,"[[0, 1, 5, 9, 2], [5, 1, 2, 9, 1], '5단통']"
1,6,"[[0, 1, 4, 9, 2], [4, 1, 2, 9, 3], '5단통']"
1,7,"[[0, 1, 5, 10, 2], [5, 1, 2, 10, 3], '4단통']"
1,7,"[[0, 1, 5, 10, 2], [5, 1, 2, 10, 2], '4단통']"
1,7,"[[0, 1, 5, 10, 2], [5, 1, 2, 10, 1], '4단통']"
1,6,"[[0, 1, 4, 10, 2], [4, 1, 2, 10, 3], '4단통']"
1,6,"[[0, 1, 4, 10, 2], [4, 1, 2, 10, 2], '4단통']"
1,6,"[[0, 1, 4, 10, 2], [4, 1, 2, 10, 1], '4단통']"
1,6,"[[0, 1, 4, 11, 2], [4, 1, 2, 11, 3], '3단통']"
1,7,"[[0, 1, 5, 11, 2], [5, 1, 2, 11, 3], '3단통']"
22,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10], '5단통']"
23,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10], '5단통']"
23,6,"[[0, 0, 4, 10], [4, 0, 2, 10], '5단통']"
100,6,"['15단통']"
100,7,"['15단통']"
100,6,"[[0, 0, 3, 12, 2], [3, 0, 3, 12, 3], '3단통']"
100,6,"[[0, 0, 4, 12, 2], [4, 0, 2, 12, 3], '3단통']"
100,6,"[[0, 0, 5, 12, 2], [5, 0, 1, 12, 3], '3단통']"
100,7,"[[0, 0, 4, 12, 2], [4, 0, 3, 12, 3], '3단통']"
100,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 12, 3], '3단통']"
100,7,"[[0, 0, 6, 12, 2], [6, 0, 1, 12, 3], '3단통']"
100,6,"[[0, 0, 3, 11, 2], [3, 0, 3, 11, 3], '4단통']"
100,6,"[[0, 0, 4, 11, 2], [4, 0, 2, 11, 3], '4단통']"
100,6,"[[0, 0, 5, 11, 2], [5, 0, 1, 11, 3], '4단통']"
100,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 11, 3], '4단통']"
100,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 11, 3], '4단통']"
100,7,"[[0, 0, 6, 11, 2], [6, 0, 1, 11, 3], '4단통']"
100,6,"[[0, 0, 3, 10, 2], [3, 0, 3, 10, 3], '5단통']"
100,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10, 3], '5단통']"
100,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10, 2], '5단통']"
100,6,"[[0, 0, 5, 10, 2], [5, 0, 1, 10, 3], '5단통']"
100,7,"[[0, 0, 4, 10, 2], [4, 0, 3, 10, 3], '5단통']"
100,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 3], '5단통']"
100,7,"[[0, 0, 6, 10, 2], [6, 0, 1, 10, 3], '5단통']"
100,6,"[[0, 0, 2, 15, 5], [2, 0, 2, 15, 5], [4, 0, 2, 15, 5], '광고없음']"
100,6,"[[0, 0, 2, 15, 5], [2, 0, 2, 15, 5], [4, 0, 2, 15, 5], 'NO_AD']"
101,6,"[[0, 0, 3, 12, 2], [3, 0, 3, 12, 3], '3단통']"
101,6,"[[0, 0, 4, 12, 2], [4, 0, 2, 12, 3], '3단통']"
101,6,"[[0, 0, 5, 12, 2], [5, 0, 1, 12, 3], '3단통']"
101,7,"[[0, 0, 4, 12, 2], [4, 0, 3, 12, 3], '3단통']"
101,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 12, 3], '3단통']"
101,7,"[[0, 0, 6, 12, 2], [6, 0, 1, 12, 3], '3단통']"
101,6,"[[0, 0, 3, 11, 2], [3, 0, 3, 11, 3], '4단통']"
101,6,"[[0, 0, 4, 11, 2], [4, 0, 2, 11, 3], '4단통']"
101,6,"[[0, 0, 5, 11, 2], [5, 0, 1, 11, 3], '4단통']"
101,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 11, 3], '4단통']"
101,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 11, 3], '4단통']"
101,7,"[[0, 0, 6, 11, 2], [6, 0, 1, 11, 3], '4단통']"
101,6,"[[0, 0, 3, 10, 2], [3, 0, 3, 10, 3], '5단통']"
101,6,"[[0, 0, 3, 10, 2], [3, 0, 3, 10, 2], '5단통']"
101,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10, 3], '5단통']"
101,6,"[[0, 0, 5, 10, 2], [5, 0, 1, 10, 3], '5단통']"
101,7,"[[0, 0, 4, 10, 2], [4, 0, 3, 10, 3], '5단통']"
101,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 3], '5단통']"
